"minute_key","minute_common","minute_2","minute_3","minute_4","minute_5","minute_6","minute_10","minute_12","minute_15","minute_20","minute_30","minute_60"
"0","00","00","00","00","00","00","00","00","00","00","00","00"
"1","01","00","00","00","00","00","00","00","00","00","00","00"
"2","02","02","00","00","00","00","00","00","00","00","00","00"
"3","03","02","03","00","00","00","00","00","00","00","00","00"
"4","04","04","03","04","00","00","00","00","00","00","00","00"
"5","05","04","03","04","05","00","00","00","00","00","00","00"
"6","06","06","06","04","05","06","00","00","00","00","00","00"
"7","07","06","06","04","05","06","00","00","00","00","00","00"
"8","08","08","06","08","05","06","00","00","00","00","00","00"
"9","09","08","09","08","05","06","00","00","00","00","00","00"
"10","10","10","09","08","10","06","10","00","00","00","00","00"
"11","11","10","09","08","10","06","10","00","00","00","00","00"
"12","12","12","12","12","10","12","10","12","00","00","00","00"
"13","13","12","12","12","10","12","10","12","00","00","00","00"
"14","14","14","12","12","10","12","10","12","00","00","00","00"
"15","15","14","15","12","15","12","10","12","15","00","00","00"
"16","16","16","15","16","15","12","10","12","15","00","00","00"
"17","17","16","15","16","15","12","10","12","15","00","00","00"
"18","18","18","18","16","15","18","10","12","15","00","00","00"
"19","19","18","18","16","15","18","10","12","15","00","00","00"
"20","20","20","18","20","20","18","20","12","15","20","00","00"
"21","21","20","21","20","20","18","20","12","15","20","00","00"
"22","22","22","21","20","20","18","20","12","15","20","00","00"
"23","23","22","21","20","20","18","20","12","15","20","00","00"
"24","24","24","24","24","20","24","20","24","15","20","00","00"
"25","25","24","24","24","25","24","20","24","15","20","00","00"
"26","26","26","24","24","25","24","20","24","15","20","00","00"
"27","27","26","27","24","25","24","20","24","15","20","00","00"
"28","28","28","27","28","25","24","20","24","15","20","00","00"
"29","29","28","27","28","25","24","20","24","15","20","00","00"
"30","30","30","30","28","30","30","30","24","30","20","30","00"
"31","31","30","30","28","30","30","30","24","30","20","30","00"
"32","32","32","30","32","30","30","30","24","30","20","30","00"
"33","33","32","33","32","30","30","30","24","30","20","30","00"
"34","34","34","33","32","30","30","30","24","30","20","30","00"
"35","35","34","33","32","35","30","30","24","30","20","30","00"
"36","36","36","36","36","35","36","30","36","30","20","30","00"
"37","37","36","36","36","35","36","30","36","30","20","30","00"
"38","38","38","36","36","35","36","30","36","30","20","30","00"
"39","39","38","39","36","35","36","30","36","30","20","30","00"
"40","40","40","39","40","40","36","40","36","30","40","30","00"
"41","41","40","39","40","40","36","40","36","30","40","30","00"
"42","42","42","42","40","40","42","40","36","30","40","30","00"
"43","43","42","42","40","40","42","40","36","30","40","30","00"
"44","44","44","42","44","40","42","40","36","30","40","30","00"
"45","45","44","45","44","45","42","40","36","45","40","30","00"
"46","46","46","45","44","45","42","40","36","45","40","30","00"
"47","47","46","45","44","45","42","40","36","45","40","30","00"
"48","48","48","48","48","45","48","40","48","45","40","30","00"
"49","49","48","48","48","45","48","40","48","45","40","30","00"
"50","50","50","48","48","50","48","50","48","45","40","30","00"
"51","51","50","51","48","50","48","50","48","45","40","30","00"
"52","52","52","51","52","50","48","50","48","45","40","30","00"
"53","53","52","51","52","50","48","50","48","45","40","30","00"
"54","54","54","54","52","50","54","50","48","45","40","30","00"
"55","55","54","54","52","55","54","50","48","45","40","30","00"
"56","56","56","54","56","55","54","50","48","45","40","30","00"
"57","57","56","57","56","55","54","50","48","45","40","30","00"
"58","58","58","57","56","55","54","50","48","45","40","30","00"
"59","59","58","57","56","55","54","50","48","45","40","30","00"
